"Topt","sim","site"
34.89,1000,"TX"
28.36,1000,"MO"
22.94,1000,"MI"
32.55,999,"TX"
27.25,999,"MO"
34.89,999,"MI"
23.38,998,"TX"
25.81,998,"MO"
23.2,998,"MI"
22.62,997,"TX"
28.95,997,"MO"
26.86,997,"MI"
34.89,996,"TX"
32.43,996,"MO"
29.68,996,"MI"
22.56,995,"TX"
26.66,995,"MO"
22.51,995,"MI"
34.89,994,"TX"
34.8,994,"MO"
22.94,994,"MI"
34.89,993,"TX"
29.66,993,"MO"
23.96,993,"MI"
26.19,992,"TX"
34.89,992,"MO"
27.8,992,"MI"
34.89,991,"TX"
29.88,991,"MO"
22.23,991,"MI"
22.44,990,"TX"
29.23,990,"MO"
24.94,990,"MI"
34.89,989,"TX"
27.99,989,"MO"
24.41,989,"MI"
34.89,988,"TX"
34.89,988,"MO"
24.75,988,"MI"
34.89,987,"TX"
28.69,987,"MO"
23.17,987,"MI"
34.89,986,"TX"
29.45,986,"MO"
22.34,986,"MI"
20.17,985,"TX"
29.32,985,"MO"
27.12,985,"MI"
34.89,984,"TX"
29.78,984,"MO"
26.35,984,"MI"
18.41,983,"TX"
30.19,983,"MO"
30.73,983,"MI"
34.89,982,"TX"
30.07,982,"MO"
22.63,982,"MI"
34.89,981,"TX"
29.27,981,"MO"
24.14,981,"MI"
34.89,980,"TX"
27.92,980,"MO"
22.26,980,"MI"
34.89,979,"TX"
27.65,979,"MO"
26.1,979,"MI"
19.43,978,"TX"
28.17,978,"MO"
23.92,978,"MI"
34.89,977,"TX"
28.4,977,"MO"
21.51,977,"MI"
25.34,976,"TX"
27.97,976,"MO"
22.22,976,"MI"
29.34,975,"TX"
34.89,975,"MO"
25.54,975,"MI"
34.89,974,"TX"
27.64,974,"MO"
24.16,974,"MI"
24.46,973,"TX"
28.27,973,"MO"
31.01,973,"MI"
24.18,972,"TX"
33.86,972,"MO"
29.12,972,"MI"
34.89,971,"TX"
29.57,971,"MO"
22.46,971,"MI"
34.89,970,"TX"
33.93,970,"MO"
25.03,970,"MI"
30.48,969,"TX"
34.89,969,"MO"
23.37,969,"MI"
25.02,968,"TX"
28.56,968,"MO"
22.88,968,"MI"
27.75,967,"TX"
27.41,967,"MO"
25.18,967,"MI"
34.89,966,"TX"
28.83,966,"MO"
20.88,966,"MI"
34.89,965,"TX"
28.62,965,"MO"
27.21,965,"MI"
34.89,964,"TX"
31.29,964,"MO"
24.9,964,"MI"
28.03,963,"TX"
29.6,963,"MO"
24.71,963,"MI"
34.89,962,"TX"
34.87,962,"MO"
25.3,962,"MI"
25.49,961,"TX"
34.89,961,"MO"
24.49,961,"MI"
21.95,960,"TX"
34.89,960,"MO"
34.89,960,"MI"
30.71,959,"TX"
30.33,959,"MO"
23.92,959,"MI"
24.61,958,"TX"
30.12,958,"MO"
24.13,958,"MI"
20.26,957,"TX"
29.63,957,"MO"
23.44,957,"MI"
34.89,956,"TX"
28.35,956,"MO"
23.03,956,"MI"
34.89,955,"TX"
29.16,955,"MO"
34.89,955,"MI"
34.89,954,"TX"
27.14,954,"MO"
26.43,954,"MI"
7.61,953,"TX"
34.89,953,"MO"
23.94,953,"MI"
24.51,952,"TX"
29.46,952,"MO"
34.89,952,"MI"
34.89,951,"TX"
34.16,951,"MO"
22.98,951,"MI"
31.01,950,"TX"
34.89,950,"MO"
22.89,950,"MI"
34.89,949,"TX"
29.59,949,"MO"
24.74,949,"MI"
25.71,948,"TX"
34.89,948,"MO"
24.88,948,"MI"
22.44,947,"TX"
32.76,947,"MO"
21.77,947,"MI"
25.45,946,"TX"
29.66,946,"MO"
25.62,946,"MI"
27.49,945,"TX"
29.2,945,"MO"
21.65,945,"MI"
27.58,944,"TX"
34.89,944,"MO"
27.26,944,"MI"
34.89,943,"TX"
34.89,943,"MO"
34.89,943,"MI"
34.89,942,"TX"
26.1,942,"MO"
21.75,942,"MI"
32.44,941,"TX"
30.04,941,"MO"
30.57,941,"MI"
34.89,940,"TX"
34.89,940,"MO"
29.56,940,"MI"
34.89,939,"TX"
25.62,939,"MO"
27.03,939,"MI"
34.89,938,"TX"
34.89,938,"MO"
23.31,938,"MI"
7.61,937,"TX"
34.89,937,"MO"
23.78,937,"MI"
25.3,936,"TX"
28.73,936,"MO"
27.74,936,"MI"
29.58,935,"TX"
34.89,935,"MO"
24.93,935,"MI"
34.89,934,"TX"
28.06,934,"MO"
21.21,934,"MI"
7.61,933,"TX"
29.61,933,"MO"
23.44,933,"MI"
34.89,932,"TX"
27.56,932,"MO"
29.39,932,"MI"
28.36,931,"TX"
31.67,931,"MO"
22.74,931,"MI"
31.95,930,"TX"
27.9,930,"MO"
22.66,930,"MI"
34.89,929,"TX"
29.74,929,"MO"
24.81,929,"MI"
34.89,928,"TX"
34.89,928,"MO"
22.54,928,"MI"
31.46,927,"TX"
30.64,927,"MO"
25.86,927,"MI"
24.98,926,"TX"
30.24,926,"MO"
34.89,926,"MI"
34.89,925,"TX"
31.29,925,"MO"
24.72,925,"MI"
31.93,924,"TX"
31.97,924,"MO"
31.66,924,"MI"
34.89,923,"TX"
27.9,923,"MO"
22.33,923,"MI"
26.66,922,"TX"
31.14,922,"MO"
31.41,922,"MI"
24.5,921,"TX"
28.53,921,"MO"
24.18,921,"MI"
34.89,920,"TX"
34.89,920,"MO"
23.9,920,"MI"
25.9,919,"TX"
29.69,919,"MO"
23.79,919,"MI"
24.82,918,"TX"
31.06,918,"MO"
22.95,918,"MI"
29.8,917,"TX"
28.71,917,"MO"
23.76,917,"MI"
34.89,916,"TX"
28.63,916,"MO"
25.99,916,"MI"
34.89,915,"TX"
29.88,915,"MO"
24.18,915,"MI"
27.12,914,"TX"
34.89,914,"MO"
27.2,914,"MI"
34.89,913,"TX"
28.59,913,"MO"
21.9,913,"MI"
34.89,912,"TX"
34.89,912,"MO"
22.67,912,"MI"
25.71,911,"TX"
26.54,911,"MO"
34.89,911,"MI"
23.59,910,"TX"
29.05,910,"MO"
23.17,910,"MI"
18.67,909,"TX"
28.84,909,"MO"
21.36,909,"MI"
34.89,908,"TX"
28.16,908,"MO"
23.44,908,"MI"
34.89,907,"TX"
26.24,907,"MO"
22.23,907,"MI"
34.89,906,"TX"
34.89,906,"MO"
22.53,906,"MI"
27.75,905,"TX"
28.97,905,"MO"
28.51,905,"MI"
32.15,904,"TX"
27.58,904,"MO"
21.25,904,"MI"
34.89,903,"TX"
27.47,903,"MO"
25.61,903,"MI"
34.89,902,"TX"
26.9,902,"MO"
24.59,902,"MI"
31.85,901,"TX"
29.04,901,"MO"
34.89,901,"MI"
26.84,900,"TX"
34.89,900,"MO"
23.69,900,"MI"
15.75,899,"TX"
34.89,899,"MO"
27,899,"MI"
24.43,898,"TX"
30.06,898,"MO"
34.89,898,"MI"
34.89,897,"TX"
34.34,897,"MO"
25.61,897,"MI"
27.01,896,"TX"
34.89,896,"MO"
22.8,896,"MI"
34.89,895,"TX"
33.24,895,"MO"
32.3,895,"MI"
34.89,894,"TX"
30.62,894,"MO"
21.34,894,"MI"
34.89,893,"TX"
34.89,893,"MO"
29.48,893,"MI"
34.89,892,"TX"
27.83,892,"MO"
23.38,892,"MI"
34.89,891,"TX"
26.21,891,"MO"
22.98,891,"MI"
34.89,890,"TX"
31.04,890,"MO"
34.89,890,"MI"
26.97,889,"TX"
31.3,889,"MO"
26.59,889,"MI"
32.08,888,"TX"
29.53,888,"MO"
21.76,888,"MI"
28.11,887,"TX"
27.59,887,"MO"
25.17,887,"MI"
34.89,886,"TX"
29.59,886,"MO"
23.48,886,"MI"
24.6,885,"TX"
30.12,885,"MO"
23.19,885,"MI"
34.89,884,"TX"
27.74,884,"MO"
25.55,884,"MI"
28.4,883,"TX"
30.17,883,"MO"
23.56,883,"MI"
34.89,882,"TX"
29.15,882,"MO"
