site,station,month,precip,snow,Tavg,Tmax,Tmin
TX,USC00412114,01,4.13,,47.5,59.1,35.9
TX,USC00412114,02,3.8,,51.6,63.1,40.1
TX,USC00412114,03,3.44,,58.2,70.2,46.3
TX,USC00412114,04,3.68,,65.3,77.6,53
TX,USC00412114,05,4.79,,73.4,84.3,62.5
TX,USC00412114,06,5.05,,80.3,91,69.5
TX,USC00412114,07,2.53,,83.1,94.4,71.8
TX,USC00412114,08,3.44,,83.4,95.3,71.5
TX,USC00412114,09,3.64,,77.8,89.8,65.9
TX,USC00412114,10,4.45,,67.7,80.3,55.1
TX,USC00412114,11,3.81,,56.9,69,44.8
TX,USC00412114,12,4.56,,49.5,61.2,37.9
MO,USW00003966,01,2.38,,31.5,41,22
MO,USW00003966,02,1.98,,36.1,46.5,25.8
MO,USW00003966,03,3.48,,45.9,57.4,34.4
MO,USW00003966,04,4.58,,56.4,68.4,44.3
MO,USW00003966,05,4.56,,66,77.2,54.9
MO,USW00003966,06,4.31,,74.8,85.7,63.9
MO,USW00003966,07,3.3,,78.7,89.5,68
MO,USW00003966,08,3.44,,76.9,88.1,65.7
MO,USW00003966,09,3.02,,68.7,80.9,56.5
MO,USW00003966,10,3.1,,57.3,69.5,45.1
MO,USW00003966,11,3.28,,45.3,56.2,34.4
MO,USW00003966,12,2.32,,35.7,45.1,26.4
MI,USC00203947,01,2.12,10.4,22.8,31.2,14.4
MI,USC00203947,02,1.64,7.9,24.7,34.8,14.6
MI,USC00203947,03,2.04,4.1,34,44.3,23.6
MI,USC00203947,04,2.92,0.7,45.8,57.6,34
MI,USC00203947,05,3.59,0,57.1,69.3,44.8
MI,USC00203947,06,3.72,0,67.1,79.3,54.8
MI,USC00203947,07,3.04,0,70.5,83.2,57.9
MI,USC00203947,08,3.57,0,68.9,81.2,56.7
MI,USC00203947,09,3.11,0,61.7,74.6,48.8
MI,USC00203947,10,2.93,0,50.1,61.8,38.4
MI,USC00203947,11,2.43,1.2,38.6,48.2,29
MI,USC00203947,12,2.02,8.9,28.7,36.3,21.2
