site,chamber,bath,pond,id,predmass,temp,surv,dead
MI,1,1A,36,,0.0384,8.89,65,35
MI,1,1A,64,,0.0349,8.89,96,4
MI,1,1A,29,,0.025238462,8.89,75,25
MI,1,1A,Control,,NA,8.89,97,3
MI,1,4A,36,,0.0344,11.89,59,41
MI,1,4A,64,,0.0351,11.89,92,8
MI,1,4A,29,,0.025238462,11.89,64,36
MI,1,4A,Control,,NA,11.89,97,3
MI,1,5A,29,,0.0208,19.22,19,81
MI,1,5A,64,,0.0364,19.22,27,73
MI,1,5A,Control,,NA,19.22,95,5
MI,1,9A,29,,0.0276,13.00,31,69
MI,1,9A,36,,0.0344,13.00,34,66
MI,1,9A,Control,,NA,13.00,99,1
MI,1,10A,29,,0.0322,9.56,57,43
MI,1,10A,36,,0.0485,9.56,74,26
MI,1,10A,64,,0.0455,9.56,93,7
MI,1,10A,Control,,NA,9.56,96,4
MI,1,13A,29,,0.0236,20.39,18,82
MI,1,13A,36,,0.0488,20.39,94,6
MI,1,13A,64,,0.0368,20.39,48,52
MI,1,13A,Control,,NA,20.39,94,6
MI,2,1,29,,0.0354,26.50,35,65
MI,2,1,36,,0.0323,26.50,22,78
MI,2,1,64,,0.0207,26.50,83,17
MI,2,1,Control,,NA,26.50,100,0
MI,2,2,29,,0.0176,24.11,58,42
MI,2,2,36,,0.0331,24.11,4,96
MI,2,2,64,,0.0312,24.11,72,28
MI,2,2,Control,,NA,24.11,95,5
MI,2,3,29,,0.0215,33.89,14,86
MI,2,3,Control,,NA,33.89,95,5
MI,2,6,29,,0.0319,31.78,79,21
MI,2,6,36,,0.036,31.78,16,84
MI,2,6,64,,0.0272,31.78,44,56
MI,2,6,Control,,NA,31.78,91,9
MI,2,7,29,,0.0252,27.11,44,56
MI,2,7,64,,0.015,27.11,10,90
MI,2,7,Control,,NA,27.11,96,4
MI,2,8,29,,0.028,29.00,34,66
MI,2,8,36,,0.0349,29.00,7,93
MI,2,8,64,,0.0374,29.00,61,39
MI,2,8,Control,,NA,29.00,99,1
MI,2,9,29,,0.0185,31.11,54,46
MI,2,9,36,,0.0299,31.11,85,15
MI,2,9,64,,0.0269,31.11,41,59
MI,2,9,Control,,NA,31.11,90,10
MI,2,10,29,,0.0226,26.28,35,65
MI,2,10,36,,0.0396,26.28,28,72
MI,2,10,64,,0.0351,26.28,19,81
MI,2,10,Control,,NA,26.28,93,7
MI,2,12,29,,0.0232,31.28,86,14
MI,2,12,36,,0.0447,31.28,41,59
MI,2,12,64,,0.0308,31.28,19,81
MI,2,12,Control,,NA,31.28,100,0
MI,2,14,64,,0.0295,35.78,13,87
MI,2,14,Control,,NA,35.78,16,84
MO,2,1,Blue,,0.0261,27.11,55,45
MO,2,1,Grey,,0.0359,27.11,97,3
MO,2,1,Twin,B,0.0379,27.11,95,5
MO,2,1,Twin,A,0.0259,27.11,97,3
MO,2,1,Control,,NA,27.11,100,0
MO,2,2,Blue,,0.0322,24.22,24,76
MO,2,2,Grey,,0.0427,24.22,62,38
MO,2,2,Twin,A,0.0371,24.22,99,1
MO,2,2,Twin,B,0.0346,24.22,95,5
MO,2,2,Control,,NA,24.22,100,0
MO,2,3,Blue,,0.0431,34.89,74,26
MO,2,3,Grey,,0.038,34.89,82,18
MO,2,3,Twin,,0.0315,34.89,68,32
MO,2,3,Control,,NA,34.89,80,20
MO,2,4,Grey,,0.0407,7.39,100,0
MO,2,4,Twin,,0.0349,7.39,99,1
MO,2,4,Control,,NA,7.39,100,0
MO,2,5,Blue,,0.027,11.89,96,4
MO,2,5,Grey,,0.0414,11.89,96,4
MO,2,5,Twin,B,0.0312,11.89,88,12
MO,2,5,Twin,A,0.0342,11.89,93,7
MO,2,5,Control,,NA,11.89,97,3
MO,2,6,Grey,,0.03,31.78,95,5
MO,2,6,Twin,,0.0355,31.78,100,0
MO,2,6,Control,,NA,31.78,95,5
MO,2,8,Blue,,0.0426,30.72,16,84
MO,2,8,Grey,,0.0328,30.72,98,2
MO,2,8,Twin,,0.0327,30.72,13,87
MO,2,8,Control,,NA,30.72,99,1
MO,2,13,Blue,,0.0295,21.00,93,7
MO,2,13,Grey,,0.0429,21.00,98,2
MO,2,13,Control,,NA,21.00,100,0
MO,2,13,Twin,,0.03355,21.00,96,4
TX,2,1,17,,0.0304,27.28,84,16
TX,2,1,19,,0.0374,27.28,85,15
TX,2,1,108,,0.0249,27.28,95,5
TX,2,1,Control,,NA,27.28,100,0
TX,2,2,17,,0.0326,24.39,82,18
TX,2,2,19,,0.0341,24.39,93,7
TX,2,2,108,,0.0317,24.39,93,7
TX,2,2,Control,,NA,24.39,98,2
TX,2,3,17,,0.0258,34.61,94,6
TX,2,3,19,,0.032,34.61,92,8
TX,2,3,108,,0.0283,34.61,78,22
TX,2,3,Control,,NA,34.61,98,2
TX,2,4,17,,0.108,7.61,93,7
TX,2,4,19,,0.0427,7.61,93,7
TX,2,4,108,,0.0345,7.61,100,0
TX,2,4,Control,,NA,7.61,100,0
TX,2,6,17,,0.0324,31.22,99,1
TX,2,6,19,,0.0344,31.22,97,3
TX,2,6,108,,0.0297,31.22,98,2
TX,2,6,Control,,NA,31.22,100,0
TX,2,9,17,,0.0338,30.78,100,0
TX,2,9,19,,0.0304,30.78,90,10
TX,2,9,108,,0.0341,30.78,83,17
TX,2,9,Control,,NA,30.78,98,2
TX,2,10,17,,0.0336,25.00,100,0
TX,2,10,19,,0.0326,25.00,93,7
TX,2,10,108,,0.0394,25.00,92,8
TX,2,10,Control,,NA,25.00,98,2
TX,2,11,17,,0.0408,10.28,94,6
TX,2,11,19,,0.0364,10.28,93,7
TX,2,11,108,,0.0352,10.28,96,4
TX,2,11,Control,,NA,10.28,97,3
TX,2,12,17,,0.0398,32.28,88,12
TX,2,12,19,,0.0307,32.28,94,6
TX,2,12,108,,0.037,32.28,91,9
TX,2,12,Control,,NA,32.28,95,5
TX,2,13,17,,0.0353,20.22,97,3
TX,2,13,19,,0.0309,20.22,90,10
TX,2,13,108,,0.0325,20.22,88,12
TX,2,13,Control,,NA,20.22,96,4
TX,2,14,17,,0.0325,34.50,93,7
TX,2,14,19,,0.0405,34.50,92,8
TX,2,14,108,,0.03,34.50,83,17
TX,2,14,Control,,NA,34.50,100,0
TX,2,15,17,,0.0383,20.22,97,3
TX,2,15,19,,0.0359,20.22,96,4
TX,2,15,108,,0.0321,20.22,75,25
TX,2,15,Control,,NA,20.22,98,2
TX,2,16,17,,0.0345,12.22,96,4
TX,2,16,19,,0.0323,12.22,92,8
TX,2,16,108,,0.0378,12.22,92,8
TX,2,16,Control,,NA,12.22,95,5
